system_type,seed_a,seed_b,marginal_jsd,transition_jsd,structural_consistency,domain_variant
PC1,0,1000,0.01949,0.02663,0.006714,B1
PC1,1,1001,0.024878,0.025039,0.009007,B1
PC1,2,1002,0.019729,0.014205,0.004822,B1
PC1,3,1003,0.032797,0.02508,0.082937,B1
PC1,4,1004,0.027046,0.027369,0.022556,B1
PC1,5,1005,0.004308,0.013042,0.207326,B1
PC1,6,1006,0.032355,0.029752,0.035511,B1
PC1,7,1007,0.013681,0.020482,0.00588,B1
PC1,8,1008,0.010575,0.016576,0.006955,B1
PC1,9,1009,0.023581,0.01821,0.006924,B1
PC1,10,1010,0.027557,0.020509,0.010369,B1
PC1,11,1011,0.005336,0.021806,0.00222,B1
PC1,12,1012,0.011376,0.018855,0.096483,B1
PC1,13,1013,0.018006,0.014735,0.056095,B1
PC1,14,1014,0.009593,0.01279,0.132947,B1
PC1,15,1015,0.004622,0.013652,0.003033,B1
PC1,16,1016,0.016913,0.026242,0.237811,B1
PC1,17,1017,0.008088,0.017957,0.010782,B1
PC1,18,1018,0.018407,0.021538,0.242881,B1
PC1,19,1019,0.007007,0.028487,0.080654,B1
PC1,20,1020,0.011759,0.012878,0.003693,B1
PC1,21,1021,0.042732,0.028236,0.13452,B1
PC1,22,1022,0.01754,0.019859,0.250789,B1
PC1,23,1023,0.004443,0.011489,0.01089,B1
PC1,24,1024,0.005627,0.014329,0.12749,B1
PC1,25,1025,0.02908,0.026603,0.0928,B1
PC1,26,1026,0.006926,0.021709,0.011616,B1
PC1,27,1027,0.014875,0.023546,0.002102,B1
PC1,28,1028,0.024625,0.020956,0.399324,B1
PC1,29,1029,0.04056,0.024209,0.211503,B1
PC1,30,1030,0.028861,0.027796,0.011454,B1
PC1,31,1031,0.003172,0.018211,0.048825,B1
PC1,32,1032,0.011037,0.023424,0.001115,B1
PC1,33,1033,0.005428,0.016235,0.017464,B1
PC1,34,1034,0.006065,0.025079,0.001098,B1
PC1,35,1035,0.005511,0.012966,0.012982,B1
PC1,36,1036,0.016299,0.023124,0.031207,B1
PC1,37,1037,0.021772,0.027858,0.007416,B1
PC1,38,1038,0.032643,0.029741,0.00584,B1
PC1,39,1039,0.008771,0.026658,0.13229,B1
PC1,40,1040,0.017955,0.018868,0.033284,B1
PC1,41,1041,0.006599,0.034135,0.003621,B1
PC1,42,1042,0.021836,0.022843,0.053002,B1
PC1,43,1043,0.016246,0.021338,0.23225,B1
PC1,44,1044,0.015817,0.019259,0.004454,B1
PC1,45,1045,0.04573,0.040491,0.063101,B1
PC1,46,1046,0.016102,0.014605,0.234072,B1
PC1,47,1047,0.011723,0.022778,0.012131,B1
PC1,48,1048,0.024741,0.021711,0.016358,B1
PC1,49,1049,0.022168,0.022541,0.054373,B1
PC1,0,1000,0.011047,0.030656,0.003892,B2
PC1,1,1001,0.010243,0.014846,0.012262,B2
PC1,2,1002,0.021494,0.018295,0.029294,B2
PC1,3,1003,0.013166,0.027473,0.02785,B2
PC1,4,1004,0.027476,0.022494,0.005601,B2
PC1,5,1005,0.010959,0.018991,0.015388,B2
PC1,6,1006,0.020084,0.018444,0.012277,B2
PC1,7,1007,0.032099,0.025264,0.07092,B2
PC1,8,1008,0.028765,0.027367,0.005426,B2
PC1,9,1009,0.00861,0.023663,0.013698,B2
PC1,10,1010,0.035665,0.03455,0.011655,B2
PC1,11,1011,0.006601,0.023643,0.007683,B2
PC1,12,1012,0.021423,0.013914,0.005107,B2
PC1,13,1013,0.033903,0.024354,0.016288,B2
PC1,14,1014,0.020277,0.032638,0.006235,B2
PC1,15,1015,0.01477,0.031886,0.009467,B2
PC1,16,1016,0.018061,0.020349,0.006366,B2
PC1,17,1017,0.015723,0.014715,0.003553,B2
PC1,18,1018,0.019892,0.023633,0.005984,B2
PC1,19,1019,0.006929,0.01557,0.008007,B2
PC1,20,1020,0.039343,0.014054,0.043994,B2
PC1,21,1021,0.019746,0.013829,0.044559,B2
PC1,22,1022,0.010277,0.016042,0.00336,B2
PC1,23,1023,0.004496,0.017261,0.049336,B2
PC1,24,1024,0.012462,0.018406,0.027547,B2
PC1,25,1025,0.015762,0.015733,0.011877,B2
PC1,26,1026,0.009186,0.015256,0.010056,B2
PC1,27,1027,0.014392,0.021306,0.014592,B2
PC1,28,1028,0.00439,0.010124,0.00158,B2
PC1,29,1029,0.021957,0.023293,0.010205,B2
PC1,30,1030,0.041784,0.022548,0.006912,B2
PC1,31,1031,0.020738,0.023858,0.033064,B2
PC1,32,1032,0.012877,0.013098,0.021387,B2
PC1,33,1033,0.017053,0.019528,0.030887,B2
PC1,34,1034,0.006823,0.016369,0.0161,B2
PC1,35,1035,0.01251,0.00627,0.035987,B2
PC1,36,1036,0.023565,0.019925,0.001896,B2
PC1,37,1037,0.004549,0.022304,0.002087,B2
PC1,38,1038,0.01725,0.018426,0.003068,B2
PC1,39,1039,0.003313,0.01249,0.003287,B2
PC1,40,1040,0.037783,0.020391,0.005027,B2
PC1,41,1041,0.016229,0.018168,0.030384,B2
PC1,42,1042,0.023676,0.018339,0.008175,B2
PC1,43,1043,0.012127,0.017226,0.011689,B2
PC1,44,1044,0.008033,0.027618,0.030544,B2
PC1,45,1045,0.016916,0.014803,0.002536,B2
PC1,46,1046,0.031726,0.024355,0.015326,B2
PC1,47,1047,0.008342,0.022215,0.012391,B2
PC1,48,1048,0.02502,0.026439,0.055035,B2
PC1,49,1049,0.03294,0.025351,0.023106,B2
PC3,0,1000,0.014026,0.019426,0.024302,B1
PC3,1,1001,0.029884,0.032775,0.005197,B1
PC3,2,1002,0.020201,0.015367,0.007145,B1
PC3,3,1003,0.039214,0.02951,0.128402,B1
PC3,4,1004,0.025721,0.0248,0.004654,B1
PC3,5,1005,0.009034,0.019952,0.20621,B1
PC3,6,1006,0.016128,0.028085,0.005681,B1
PC3,7,1007,0.013878,0.023833,0.01191,B1
PC3,8,1008,0.011991,0.013419,0.014074,B1
PC3,9,1009,0.028487,0.024732,0.022875,B1
PC3,10,1010,0.017192,0.018434,0.02876,B1
PC3,11,1011,0.003844,0.020874,0.003082,B1
PC3,12,1012,0.010536,0.017555,0.09673,B1
PC3,13,1013,0.01806,0.014584,0.056778,B1
PC3,14,1014,0.011007,0.013218,0.004291,B1
PC3,15,1015,0.005245,0.012035,0.003149,B1
PC3,16,1016,0.021261,0.020297,0.238077,B1
PC3,17,1017,0.006686,0.016871,0.016299,B1
PC3,18,1018,0.013791,0.021873,0.242167,B1
PC3,19,1019,0.011737,0.026645,0.024551,B1
PC3,20,1020,0.012837,0.017375,0.003355,B1
PC3,21,1021,0.045085,0.032434,0.139429,B1
PC3,22,1022,0.013915,0.017646,0.287194,B1
PC3,23,1023,0.005876,0.013011,0.011558,B1
PC3,24,1024,0.005866,0.018894,0.013688,B1
PC3,25,1025,0.02845,0.023582,0.076333,B1
PC3,26,1026,0.007847,0.019255,0.069468,B1
PC3,27,1027,0.009767,0.022007,2.7e-05,B1
PC3,28,1028,0.02213,0.019445,0.38466,B1
PC3,29,1029,0.023538,0.024727,0.010915,B1
PC3,30,1030,0.027757,0.025562,0.021588,B1
PC3,31,1031,0.003997,0.020712,0.048613,B1
PC3,32,1032,0.012304,0.022702,0.002553,B1
PC3,33,1033,0.006645,0.025229,0.015898,B1
PC3,34,1034,0.008457,0.021113,0.052682,B1
PC3,35,1035,0.01432,0.013527,0.015014,B1
PC3,36,1036,0.020402,0.021448,0.044665,B1
PC3,37,1037,0.020166,0.028662,0.006787,B1
PC3,38,1038,0.028308,0.027321,0.005894,B1
PC3,39,1039,0.001714,0.033932,2.2e-05,B1
PC3,40,1040,0.017968,0.024527,0.065924,B1
PC3,41,1041,0.007137,0.031546,0.003296,B1
PC3,42,1042,0.025804,0.023591,0.014656,B1
PC3,43,1043,0.010294,0.016989,0.216154,B1
PC3,44,1044,0.033414,0.029505,0.00298,B1
PC3,45,1045,0.040326,0.035386,0.023306,B1
PC3,46,1046,0.006671,0.019721,0.294954,B1
PC3,47,1047,0.01218,0.020397,0.029661,B1
PC3,48,1048,0.020969,0.026809,0.021055,B1
PC3,49,1049,0.0233,0.021642,0.057065,B1
PC3,0,1000,0.013772,0.03203,0.006335,B2
PC3,1,1001,0.00935,0.018966,0.010764,B2
PC3,2,1002,0.020893,0.017511,0.029582,B2
PC3,3,1003,0.011905,0.021377,0.032569,B2
PC3,4,1004,0.035704,0.025009,0.00598,B2
PC3,5,1005,0.012902,0.014628,0.009095,B2
PC3,6,1006,0.006266,0.012385,0.007363,B2
PC3,7,1007,0.028763,0.02532,0.028231,B2
PC3,8,1008,0.017377,0.023759,0.008994,B2
PC3,9,1009,0.017734,0.032927,0.013606,B2
PC3,10,1010,0.028589,0.022753,0.004856,B2
PC3,11,1011,0.011661,0.013936,0.005004,B2
PC3,12,1012,0.011452,0.018542,0.003052,B2
PC3,13,1013,0.038929,0.028835,0.005967,B2
PC3,14,1014,0.021736,0.02714,0.015348,B2
PC3,15,1015,0.005047,0.025176,0.00884,B2
PC3,16,1016,0.03613,0.019485,0.007671,B2
PC3,17,1017,0.013914,0.012757,0.007656,B2
PC3,18,1018,0.02634,0.025056,0.034823,B2
PC3,19,1019,0.006279,0.013386,0.008399,B2
PC3,20,1020,0.022446,0.00945,0.027129,B2
PC3,21,1021,0.02082,0.013573,0.042479,B2
PC3,22,1022,0.008276,0.015079,0.003674,B2
PC3,23,1023,0.012718,0.015258,0.040408,B2
PC3,24,1024,0.002612,0.018519,0.021574,B2
PC3,25,1025,0.012465,0.016145,0.017039,B2
PC3,26,1026,0.029606,0.018033,0.01021,B2
PC3,27,1027,0.01367,0.018519,0.008966,B2
PC3,28,1028,0.026342,0.0162,0.004457,B2
PC3,29,1029,0.018627,0.0235,0.004385,B2
PC3,30,1030,0.018926,0.021153,0.001824,B2
PC3,31,1031,0.014281,0.020386,0.028711,B2
PC3,32,1032,0.021951,0.016077,0.018344,B2
PC3,33,1033,0.027163,0.020585,0.009399,B2
PC3,34,1034,0.002383,0.013217,0.009166,B2
PC3,35,1035,0.015299,0.00739,0.024746,B2
PC3,36,1036,0.007059,0.015682,0.015891,B2
PC3,37,1037,0.012934,0.02734,0.002977,B2
PC3,38,1038,0.020457,0.012929,0.004864,B2
PC3,39,1039,0.00403,0.012431,0.004039,B2
PC3,40,1040,0.036153,0.01989,0.004682,B2
PC3,41,1041,0.031328,0.01924,0.011407,B2
PC3,42,1042,0.027592,0.029617,0.012866,B2
PC3,43,1043,0.004251,0.019456,0.008329,B2
PC3,44,1044,0.008601,0.027678,0.024951,B2
PC3,45,1045,0.010663,0.013945,0.000425,B2
PC3,46,1046,0.037359,0.023047,0.009058,B2
PC3,47,1047,0.008226,0.022461,0.01048,B2
PC3,48,1048,0.009243,0.023158,0.021439,B2
PC3,49,1049,0.042599,0.027721,0.032181,B2
HEB,0,1000,0.00839,0.014767,0.011478,B1
HEB,1,1001,0.036979,0.021608,0.004679,B1
HEB,2,1002,0.007614,0.021474,0.056537,B1
HEB,3,1003,0.004043,0.029146,0.2719,B1
HEB,4,1004,0.044099,0.025083,0.005036,B1
HEB,5,1005,0.015399,0.01908,0.034154,B1
HEB,6,1006,0.028132,0.018796,0.081985,B1
HEB,7,1007,0.026425,0.028359,0.041139,B1
HEB,8,1008,0.003056,0.016113,0.080851,B1
HEB,9,1009,0.01407,0.013105,0.001066,B1
HEB,10,1010,0.017233,0.018507,0.173226,B1
HEB,11,1011,0.020414,0.019853,0.001861,B1
HEB,12,1012,0.009922,0.02293,0.076975,B1
HEB,13,1013,0.016884,0.021557,0.043335,B1
HEB,14,1014,0.010853,0.01797,0.00503,B1
HEB,15,1015,0.033494,0.02538,0.089474,B1
HEB,16,1016,0.010919,0.017093,0.079251,B1
HEB,17,1017,0.002028,0.014767,0.027933,B1
HEB,18,1018,0.031351,0.022657,0.029113,B1
HEB,19,1019,0.002776,0.018893,0.128818,B1
HEB,20,1020,0.015054,0.021853,0.012906,B1
HEB,21,1021,0.014871,0.018065,0.025116,B1
HEB,22,1022,0.013015,0.029125,0.189955,B1
HEB,23,1023,0.004595,0.012956,0.01419,B1
HEB,24,1024,0.005598,0.013492,0.132657,B1
HEB,25,1025,0.020742,0.026926,0.011074,B1
HEB,26,1026,0.01004,0.025449,0.013108,B1
HEB,27,1027,0.018383,0.012716,0.028145,B1
HEB,28,1028,0.012271,0.01466,0.084084,B1
HEB,29,1029,0.024338,0.022528,0.021381,B1
HEB,30,1030,0.021147,0.023431,0.002762,B1
HEB,31,1031,0.003421,0.017623,0.174433,B1
HEB,32,1032,0.006466,0.016243,0.135896,B1
HEB,33,1033,0.020655,0.017137,0.047005,B1
HEB,34,1034,0.006418,0.022506,0.139003,B1
HEB,35,1035,0.024695,0.023445,0.191383,B1
HEB,36,1036,0.016523,0.027435,0.003194,B1
HEB,37,1037,0.00933,0.01678,4.1e-05,B1
HEB,38,1038,0.016489,0.025786,0.002093,B1
HEB,39,1039,0.033095,0.020176,0.000988,B1
HEB,40,1040,0.010687,0.019106,0.02069,B1
HEB,41,1041,0.008451,0.018961,0.488052,B1
HEB,42,1042,0.010635,0.030274,0.020663,B1
HEB,43,1043,0.005989,0.006765,0.04462,B1
HEB,44,1044,0.023919,0.024794,0.131267,B1
HEB,45,1045,0.019463,0.016665,0.48311,B1
HEB,46,1046,0.032137,0.024248,0.019019,B1
HEB,47,1047,0.005815,0.017367,0.012319,B1
HEB,48,1048,0.01228,0.020973,0.002267,B1
HEB,49,1049,0.012237,0.018567,0.091695,B1
HEB,0,1000,0.019251,0.015462,0.012204,B2
HEB,1,1001,0.009663,0.012572,0.001257,B2
HEB,2,1002,0.019596,0.018915,0.042132,B2
HEB,3,1003,0.007828,0.030717,0.006242,B2
HEB,4,1004,0.03524,0.02613,0.01724,B2
HEB,5,1005,0.007153,0.017395,0.014123,B2
HEB,6,1006,0.023372,0.025075,0.004576,B2
HEB,7,1007,0.019855,0.010842,0.12745,B2
HEB,8,1008,0.009425,0.018213,0.026509,B2
HEB,9,1009,0.023902,0.022158,0.012207,B2
HEB,10,1010,0.024672,0.019377,0.031353,B2
HEB,11,1011,0.013635,0.014959,0.006822,B2
HEB,12,1012,0.00437,0.019744,0.009986,B2
HEB,13,1013,0.019293,0.022591,0.007753,B2
HEB,14,1014,0.010387,0.013112,0.001004,B2
HEB,15,1015,0.009712,0.020398,0.003211,B2
HEB,16,1016,0.006098,0.013004,0.014313,B2
HEB,17,1017,0.019541,0.020881,0.009251,B2
HEB,18,1018,0.018311,0.022367,0.003608,B2
HEB,19,1019,0.013132,0.018761,0.001825,B2
HEB,20,1020,0.015811,0.015752,0.005893,B2
HEB,21,1021,0.014945,0.014003,0.006379,B2
HEB,22,1022,0.026701,0.024837,0.011537,B2
HEB,23,1023,0.007848,0.017596,0.008172,B2
HEB,24,1024,0.020344,0.012263,0.009569,B2
HEB,25,1025,0.016781,0.015758,0.015694,B2
HEB,26,1026,0.002087,0.02023,0.021951,B2
HEB,27,1027,0.021518,0.018934,0.035903,B2
HEB,28,1028,0.01072,0.018748,0.002008,B2
HEB,29,1029,0.013755,0.014322,0.003878,B2
HEB,30,1030,0.028689,0.022096,0.033243,B2
HEB,31,1031,0.007717,0.020208,0.009074,B2
HEB,32,1032,0.01389,0.025538,0.009216,B2
HEB,33,1033,0.02149,0.01548,0.004447,B2
HEB,34,1034,0.007228,0.015051,0.004292,B2
HEB,35,1035,0.004748,0.015508,0.015645,B2
HEB,36,1036,0.01086,0.016093,0.018894,B2
HEB,37,1037,0.020609,0.032864,0.019979,B2
HEB,38,1038,0.012194,0.009865,0.026625,B2
HEB,39,1039,0.031571,0.016345,0.001982,B2
HEB,40,1040,0.049862,0.028196,0.013655,B2
HEB,41,1041,0.009294,0.014501,0.007798,B2
HEB,42,1042,0.013435,0.013652,0.006726,B2
HEB,43,1043,0.006116,0.021995,0.007439,B2
HEB,44,1044,0.010502,0.026598,0.018466,B2
HEB,45,1045,0.022962,0.017351,0.004907,B2
HEB,46,1046,0.02033,0.027066,0.019367,B2
HEB,47,1047,0.020438,0.018608,0.004747,B2
HEB,48,1048,0.018156,0.024915,0.023332,B2
HEB,49,1049,0.004241,0.015022,0.002281,B2
3D,0,1000,0.01949,0.02663,0.006714,B1
3D,1,1001,0.024878,0.025039,0.009007,B1
3D,2,1002,0.019729,0.014205,0.004822,B1
3D,3,1003,0.032797,0.02508,0.082937,B1
3D,4,1004,0.027046,0.027369,0.022556,B1
3D,5,1005,0.004308,0.013042,0.207326,B1
3D,6,1006,0.032355,0.029752,0.035511,B1
3D,7,1007,0.013681,0.020482,0.00588,B1
3D,8,1008,0.010575,0.016576,0.006955,B1
3D,9,1009,0.023581,0.01821,0.006924,B1
3D,10,1010,0.027557,0.020509,0.010369,B1
3D,11,1011,0.005336,0.021806,0.00222,B1
3D,12,1012,0.011376,0.018855,0.096483,B1
3D,13,1013,0.018006,0.014735,0.056095,B1
3D,14,1014,0.009593,0.01279,0.132947,B1
3D,15,1015,0.004622,0.013652,0.003033,B1
3D,16,1016,0.016913,0.026242,0.237811,B1
3D,17,1017,0.008088,0.017957,0.010782,B1
3D,18,1018,0.018407,0.021538,0.242881,B1
3D,19,1019,0.007007,0.028487,0.080654,B1
3D,20,1020,0.011759,0.012878,0.003693,B1
3D,21,1021,0.042732,0.028236,0.13452,B1
3D,22,1022,0.01754,0.019859,0.250789,B1
3D,23,1023,0.004443,0.011489,0.01089,B1
3D,24,1024,0.005627,0.014329,0.12749,B1
3D,25,1025,0.02908,0.026603,0.0928,B1
3D,26,1026,0.006926,0.021709,0.011616,B1
3D,27,1027,0.014875,0.023546,0.002102,B1
3D,28,1028,0.024625,0.020956,0.399324,B1
3D,29,1029,0.04056,0.024209,0.211503,B1
3D,30,1030,0.028861,0.027796,0.011454,B1
3D,31,1031,0.003172,0.018211,0.048825,B1
3D,32,1032,0.011037,0.023424,0.001115,B1
3D,33,1033,0.005428,0.016235,0.017464,B1
3D,34,1034,0.006065,0.025079,0.001098,B1
3D,35,1035,0.005511,0.012966,0.012982,B1
3D,36,1036,0.016299,0.023124,0.031207,B1
3D,37,1037,0.021772,0.027858,0.007416,B1
3D,38,1038,0.032643,0.029741,0.00584,B1
3D,39,1039,0.008771,0.026658,0.13229,B1
3D,40,1040,0.017955,0.018868,0.033284,B1
3D,41,1041,0.006599,0.034135,0.003621,B1
3D,42,1042,0.021836,0.022843,0.053002,B1
3D,43,1043,0.016246,0.021338,0.23225,B1
3D,44,1044,0.015817,0.019259,0.004454,B1
3D,45,1045,0.04573,0.040491,0.063101,B1
3D,46,1046,0.016102,0.014605,0.234072,B1
3D,47,1047,0.011723,0.022778,0.012131,B1
3D,48,1048,0.024741,0.021711,0.016358,B1
3D,49,1049,0.022168,0.022541,0.054373,B1
3D,0,1000,0.011047,0.030656,0.003892,B2
3D,1,1001,0.010243,0.014846,0.012262,B2
3D,2,1002,0.021494,0.018295,0.029294,B2
3D,3,1003,0.013166,0.027473,0.02785,B2
3D,4,1004,0.027476,0.022494,0.005601,B2
3D,5,1005,0.010959,0.018991,0.015388,B2
3D,6,1006,0.020084,0.018444,0.012277,B2
3D,7,1007,0.032099,0.025264,0.07092,B2
3D,8,1008,0.028765,0.027367,0.005426,B2
3D,9,1009,0.00861,0.023663,0.013698,B2
3D,10,1010,0.035665,0.03455,0.011655,B2
3D,11,1011,0.006601,0.023643,0.007683,B2
3D,12,1012,0.021423,0.013914,0.005107,B2
3D,13,1013,0.033903,0.024354,0.016288,B2
3D,14,1014,0.020277,0.032638,0.006235,B2
3D,15,1015,0.01477,0.031886,0.009467,B2
3D,16,1016,0.018061,0.020349,0.006366,B2
3D,17,1017,0.015723,0.014715,0.003553,B2
3D,18,1018,0.019892,0.023633,0.005984,B2
3D,19,1019,0.006929,0.01557,0.008007,B2
3D,20,1020,0.039343,0.014054,0.043994,B2
3D,21,1021,0.019746,0.013829,0.044559,B2
3D,22,1022,0.010277,0.016042,0.00336,B2
3D,23,1023,0.004496,0.017261,0.049336,B2
3D,24,1024,0.012462,0.018406,0.027547,B2
3D,25,1025,0.015762,0.015733,0.011877,B2
3D,26,1026,0.009186,0.015256,0.010056,B2
3D,27,1027,0.014392,0.021306,0.014592,B2
3D,28,1028,0.00439,0.010124,0.00158,B2
3D,29,1029,0.021957,0.023293,0.010205,B2
3D,30,1030,0.041784,0.022548,0.006912,B2
3D,31,1031,0.020738,0.023858,0.033064,B2
3D,32,1032,0.012877,0.013098,0.021387,B2
3D,33,1033,0.017053,0.019528,0.030887,B2
3D,34,1034,0.006823,0.016369,0.0161,B2
3D,35,1035,0.01251,0.00627,0.035987,B2
3D,36,1036,0.023565,0.019925,0.001896,B2
3D,37,1037,0.004549,0.022304,0.002087,B2
3D,38,1038,0.01725,0.018426,0.003068,B2
3D,39,1039,0.003313,0.01249,0.003287,B2
3D,40,1040,0.037783,0.020391,0.005027,B2
3D,41,1041,0.016229,0.018168,0.030384,B2
3D,42,1042,0.023676,0.018339,0.008175,B2
3D,43,1043,0.012127,0.017226,0.011689,B2
3D,44,1044,0.008033,0.027618,0.030544,B2
3D,45,1045,0.016916,0.014803,0.002536,B2
3D,46,1046,0.031726,0.024355,0.015326,B2
3D,47,1047,0.008342,0.022215,0.012391,B2
3D,48,1048,0.02502,0.026439,0.055035,B2
3D,49,1049,0.03294,0.025351,0.023106,B2
3E,0,1000,0.01949,0.02663,0.006714,B1
3E,1,1001,0.024878,0.025039,0.009007,B1
3E,2,1002,0.019729,0.014205,0.004822,B1
3E,3,1003,0.032797,0.02508,0.082937,B1
3E,4,1004,0.027046,0.027369,0.022556,B1
3E,5,1005,0.004308,0.013042,0.207326,B1
3E,6,1006,0.032355,0.029752,0.035511,B1
3E,7,1007,0.013681,0.020482,0.00588,B1
3E,8,1008,0.010575,0.016576,0.006955,B1
3E,9,1009,0.023581,0.01821,0.006924,B1
3E,10,1010,0.027557,0.020509,0.010369,B1
3E,11,1011,0.005336,0.021806,0.00222,B1
3E,12,1012,0.011376,0.018855,0.096483,B1
3E,13,1013,0.018006,0.014735,0.056095,B1
3E,14,1014,0.009593,0.01279,0.132947,B1
3E,15,1015,0.004622,0.013652,0.003033,B1
3E,16,1016,0.016913,0.026242,0.237811,B1
3E,17,1017,0.008088,0.017957,0.010782,B1
3E,18,1018,0.018407,0.021538,0.242881,B1
3E,19,1019,0.007007,0.028487,0.080654,B1
3E,20,1020,0.011759,0.012878,0.003693,B1
3E,21,1021,0.042732,0.028236,0.13452,B1
3E,22,1022,0.01754,0.019859,0.250789,B1
3E,23,1023,0.004443,0.011489,0.01089,B1
3E,24,1024,0.005627,0.014329,0.12749,B1
3E,25,1025,0.02908,0.026603,0.0928,B1
3E,26,1026,0.006926,0.021709,0.011616,B1
3E,27,1027,0.014875,0.023546,0.002102,B1
3E,28,1028,0.024625,0.020956,0.399324,B1
3E,29,1029,0.04056,0.024209,0.211503,B1
3E,30,1030,0.028861,0.027796,0.011454,B1
3E,31,1031,0.003172,0.018211,0.048825,B1
3E,32,1032,0.011037,0.023424,0.001115,B1
3E,33,1033,0.005428,0.016235,0.017464,B1
3E,34,1034,0.006065,0.025079,0.001098,B1
3E,35,1035,0.005511,0.012966,0.012982,B1
3E,36,1036,0.016299,0.023124,0.031207,B1
3E,37,1037,0.021772,0.027858,0.007416,B1
3E,38,1038,0.032643,0.029741,0.00584,B1
3E,39,1039,0.008771,0.026658,0.13229,B1
3E,40,1040,0.017955,0.018868,0.033284,B1
3E,41,1041,0.006599,0.034135,0.003621,B1
3E,42,1042,0.021836,0.022843,0.053002,B1
3E,43,1043,0.016246,0.021338,0.23225,B1
3E,44,1044,0.015817,0.019259,0.004454,B1
3E,45,1045,0.04573,0.040491,0.063101,B1
3E,46,1046,0.016102,0.014605,0.234072,B1
3E,47,1047,0.011723,0.022778,0.012131,B1
3E,48,1048,0.024741,0.021711,0.016358,B1
3E,49,1049,0.022168,0.022541,0.054373,B1
3E,0,1000,0.011047,0.030656,0.003892,B2
3E,1,1001,0.010243,0.014846,0.012262,B2
3E,2,1002,0.021494,0.018295,0.029294,B2
3E,3,1003,0.013166,0.027473,0.02785,B2
3E,4,1004,0.027476,0.022494,0.005601,B2
3E,5,1005,0.010959,0.018991,0.015388,B2
3E,6,1006,0.020084,0.018444,0.012277,B2
3E,7,1007,0.032099,0.025264,0.07092,B2
3E,8,1008,0.028765,0.027367,0.005426,B2
3E,9,1009,0.00861,0.023663,0.013698,B2
3E,10,1010,0.035665,0.03455,0.011655,B2
3E,11,1011,0.006601,0.023643,0.007683,B2
3E,12,1012,0.021423,0.013914,0.005107,B2
3E,13,1013,0.033903,0.024354,0.016288,B2
3E,14,1014,0.020277,0.032638,0.006235,B2
3E,15,1015,0.01477,0.031886,0.009467,B2
3E,16,1016,0.018061,0.020349,0.006366,B2
3E,17,1017,0.015723,0.014715,0.003553,B2
3E,18,1018,0.019892,0.023633,0.005984,B2
3E,19,1019,0.006929,0.01557,0.008007,B2
3E,20,1020,0.039343,0.014054,0.043994,B2
3E,21,1021,0.019746,0.013829,0.044559,B2
3E,22,1022,0.010277,0.016042,0.00336,B2
3E,23,1023,0.004496,0.017261,0.049336,B2
3E,24,1024,0.012462,0.018406,0.027547,B2
3E,25,1025,0.015762,0.015733,0.011877,B2
3E,26,1026,0.009186,0.015256,0.010056,B2
3E,27,1027,0.014392,0.021306,0.014592,B2
3E,28,1028,0.00439,0.010124,0.00158,B2
3E,29,1029,0.021957,0.023293,0.010205,B2
3E,30,1030,0.041784,0.022548,0.006912,B2
3E,31,1031,0.020738,0.023858,0.033064,B2
3E,32,1032,0.012877,0.013098,0.021387,B2
3E,33,1033,0.017053,0.019528,0.030887,B2
3E,34,1034,0.006823,0.016369,0.0161,B2
3E,35,1035,0.01251,0.00627,0.035987,B2
3E,36,1036,0.023565,0.019925,0.001896,B2
3E,37,1037,0.004549,0.022304,0.002087,B2
3E,38,1038,0.01725,0.018426,0.003068,B2
3E,39,1039,0.003313,0.01249,0.003287,B2
3E,40,1040,0.037783,0.020391,0.005027,B2
3E,41,1041,0.016229,0.018168,0.030384,B2
3E,42,1042,0.023676,0.018339,0.008175,B2
3E,43,1043,0.012127,0.017226,0.011689,B2
3E,44,1044,0.008033,0.027618,0.030544,B2
3E,45,1045,0.016916,0.014803,0.002536,B2
3E,46,1046,0.031726,0.024355,0.015326,B2
3E,47,1047,0.008342,0.022215,0.012391,B2
3E,48,1048,0.02502,0.026439,0.055035,B2
3E,49,1049,0.03294,0.025351,0.023106,B2
